Date,Name,Year,Letterboxd URI,Rating
2018-07-10,Monty Python and the Holy Grail,1975,https://boxd.it/29GI,4.5
2018-07-10,District 9,2009,https://boxd.it/1Iik,3.5
2018-07-10,Catch Me If You Can,2002,https://boxd.it/29VS,4.5
2018-07-12,The Disaster Artist,2017,https://boxd.it/cTqc,3.5
2018-07-12,The Interview,2014,https://boxd.it/6KQ4,3
2018-07-12,Lone Survivor,2013,https://boxd.it/5Qj4,2
2018-07-12,Elysium,2013,https://boxd.it/2cBm,1.5
2018-07-12,Super 8,2011,https://boxd.it/dVI,3.5
2018-07-12,Sherlock Holmes,2009,https://boxd.it/1W2A,2.5
2018-07-12,The Road,2009,https://boxd.it/1CWI,2.5
2018-07-13,Superman,1978,https://boxd.it/27Qm,4
2018-07-13,Gerald's Game,2017,https://boxd.it/buKa,3.5
2018-07-15,Singin' in the Rain,1952,https://boxd.it/29oY,5
2018-07-15,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy,4.5
2018-07-17,The Princess Bride,1987,https://boxd.it/26EY,4.5
2018-07-18,Four Weddings and a Funeral,1994,https://boxd.it/29KA,3
2018-07-18,The Lobster,2015,https://boxd.it/7tnw,4.5
2018-07-19,The Revenant,2015,https://boxd.it/8H5e,4
2018-07-24,The Sound of Music,1965,https://boxd.it/1MLK,4.5
2018-07-24,Blazing Saddles,1974,https://boxd.it/1UHQ,4
2018-07-24,The Killing of a Sacred Deer,2017,https://boxd.it/dZ5G,3.5
2018-07-24,The Florida Project,2017,https://boxd.it/dMG0,3.5
2018-07-26,Star Wars: The Force Awakens,2015,https://boxd.it/4vru,3.5
2018-07-27,Baby Face,1933,https://boxd.it/1rMs,4.5
2018-07-27,The House of the Devil,2009,https://boxd.it/1uIe,3.5
2018-07-28,The Artist,2011,https://boxd.it/2AwK,4.5
2018-07-28,The Descendants,2011,https://boxd.it/4Ba,4
2018-07-29,It's a Wonderful Life,1946,https://boxd.it/28xA,5
2018-08-02,This Is the End,2013,https://boxd.it/3GB4,3.5
2018-08-05,The Naked Gun: From the Files of Police Squad!,1988,https://boxd.it/18YE,4
2018-08-06,Eighth Grade,2018,https://boxd.it/hDMG,4
2018-08-09,It Follows,2014,https://boxd.it/87wo,4
2018-08-10,A Fish Called Wanda,1988,https://boxd.it/29YC,4.5
2018-08-13,Phenomenon,1996,https://boxd.it/1Z2I,2
2018-08-13,Children of Men,2006,https://boxd.it/1Y2i,4
2018-08-14,Under the Skin,2013,https://boxd.it/3mDa,4.5
2018-08-15,Locke,2013,https://boxd.it/6hHC,4
2018-08-17,Dave,1993,https://boxd.it/1Txq,3.5
2018-08-21,The Accidental Tourist,1988,https://boxd.it/1jYg,3
2018-09-02,A Quiet Place,2018,https://boxd.it/fVJQ,3.5
2018-09-03,Ted,2012,https://boxd.it/2pgc,3.5
2018-09-09,Robin Hood: Men in Tights,1993,https://boxd.it/20H8,3.5
2018-09-14,The Great Gatsby,1974,https://boxd.it/1UNY,1
2018-10-01,Predators,2010,https://boxd.it/1d9m,3.5
2018-10-15,Citizen Kane,1941,https://boxd.it/71O,4.5
2018-10-16,Game Night,2018,https://boxd.it/fRtu,3.5
2018-10-16,Joe Rogan: Strange Times,2018,https://boxd.it/k6mw,3
2018-10-16,Joe Rogan: Triggered,2016,https://boxd.it/eUS6,3
2018-10-16,Hold the Dark,2018,https://boxd.it/dQPg,2.5
2018-10-18,Phantom Thread,2017,https://boxd.it/e4uc,4.5
2018-10-20,Private Life,2018,https://boxd.it/gn9Q,4
2018-10-23,Halloween,2007,https://boxd.it/27u6,0.5
2018-10-25,The Magnificent Ambersons,1942,https://boxd.it/29bK,4
2018-10-29,Sweeney Todd: The Demon Barber of Fleet Street,2007,https://boxd.it/1PcS,4
2018-10-29,Mr. & Mrs. Smith,2005,https://boxd.it/29CG,3
2018-10-30,Saving Mr. Banks,2013,https://boxd.it/4vIq,2
2018-10-30,21 Jump Street,2012,https://boxd.it/J0,3.5
2018-10-31,National Treasure,2004,https://boxd.it/27x0,3.5
2018-11-01,Suspiria,1977,https://boxd.it/1SNW,3.5
2018-11-01,Miracle on 34th Street,1994,https://boxd.it/1W5k,4
2018-11-02,You Were Never Really Here,2017,https://boxd.it/dWOS,4
2018-11-02,First Man,2018,https://boxd.it/cPym,3.5
2018-11-02,A Star Is Born,2018,https://boxd.it/aXgc,3.5
2018-11-02,Adam Sandler: 100% Fresh,2018,https://boxd.it/iLhI,3
2018-11-02,To Kill a Mockingbird,1962,https://boxd.it/2a2E,5
2018-11-17,The Color Purple,1985,https://boxd.it/29oO,3.5
2018-11-18,A Simple Favor,2018,https://boxd.it/hq92,3.5
2018-11-19,Antichrist,2009,https://boxd.it/1Inu,4
2018-11-20,Widows,2018,https://boxd.it/e6gc,4
2018-11-23,Good Will Hunting,1997,https://boxd.it/2ahY,4.5
2018-11-29,Paddington 2,2017,https://boxd.it/bCF8,4
2018-12-08,A Serious Man,2009,https://boxd.it/1RFW,4.5
2018-12-08,Nashville,1975,https://boxd.it/25GE,3.5
2018-12-10,Badlands,1973,https://boxd.it/25Fm,3.5
2018-12-11,Noah,2014,https://boxd.it/34QA,2.5
