,Title,Rewatch,Watched Date
412,Sunset Boulevard,,2020-04-24
413,Mission: Impossible - Ghost Protocol,Yes,2020-04-24
414,The Bourne Supremacy,Yes,2020-04-25
415,Sleepless in Seattle,,2020-04-25
416,Ace in the Hole,,2020-04-26
417,Some Like It Hot,,2020-04-26
418,The Apartment,,2020-04-27
419,Gremlins,,2020-04-28
420,Paths of Glory,,2020-04-29
421,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,,2020-04-29
422,"Paris, Texas",,2020-05-01
423,Gladiator,Yes,2020-05-02
424,The Umbrellas of Cherbourg,,2020-05-03
425,The Young Girls of Rochefort,,2020-05-04
426,Enemy,,2020-05-06
427,Sweet Smell of Success,,2020-05-08
428,Batman Begins,Yes,2020-05-09
429,The Dark Knight,Yes,2020-05-11
430,The Dark Knight Rises,Yes,2020-05-12
431,Bull Durham,Yes,2020-05-12
432,Psycho,Yes,2020-05-13
433,The Night of the Hunter,Yes,2020-05-15
434,Harold and Maude,,2020-05-16
435,The Last Dance,,2020-05-17
436,Harry Potter and the Order of the Phoenix,,2020-05-18
437,Magnolia,,2020-05-18
438,House,,2020-05-19
439,Brazil,,2020-05-19
440,The Godfather,Yes,2020-05-20
441,Batman Returns,Yes,2020-05-21
442,The Godfather: Part II,,2020-05-23
443,The Life Aquatic with Steve Zissou,,2020-05-24
444,The Age of Innocence,Yes,2020-05-25
445,Hotel Chevalier,,2020-05-25
446,The Darjeeling Limited,,2020-05-25
447,Moonrise Kingdom,Yes,2020-05-26
448,Shaun of the Dead,Yes,2020-05-27
449,Barry Lyndon,,2020-05-27
450,Possession,,2020-05-27
451,French Kiss,Yes,2020-05-28
452,The Last Temptation of Christ,,2020-05-28
453,Bottle Rocket,,2020-05-29
454,Scott Pilgrim vs. the World,,2020-05-29
455,Hercules,Yes,2020-05-30
456,Sweeney Todd: The Demon Barber of Fleet Street,Yes,2020-05-30
457,Dunkirk,Yes,2020-05-31
458,When Harry Met Sally...,Yes,2020-06-01
459,High and Low,,2020-06-01
460,Zombieland,Yes,2020-06-03
461,Superbad,Yes,2020-06-03
462,Ikiru,,2020-06-04
463,Jaws,Yes,2020-06-08
464,The Thing,Yes,2020-06-09
465,Punch-Drunk Love,Yes,2020-06-10
466,Mission: Impossible III,Yes,2020-06-11
467,2001: A Space Odyssey,Yes,2020-06-12
468,Da 5 Bloods,,2020-06-13
469,Princess Mononoke,,2020-06-14
470,Spirited Away,,2020-06-15
471,Porco Rosso,,2020-06-16
472,The King of Staten Island,,2020-06-17
473,Indiana Jones and the Last Crusade,Yes,2020-06-19
474,E.T. the Extra-Terrestrial,Yes,2020-06-20
475,The Iron Giant,Yes,2020-06-21
476,Kiki's Delivery Service,,2020-06-23
477,Ponyo,,2020-06-24
478,Dads,,2020-06-25
479,Castle in the Sky,,2020-06-26
480,Hot Rod,Yes,2020-06-27
481,Perfect Blue,,2020-06-28
482,Nausicaä of the Valley of the Wind,,2020-06-28
483,Lupin the Third: The Castle of Cagliostro,,2020-06-29
484,Howl's Moving Castle,,2020-06-29
485,The Wind Rises,,2020-06-30
486,Whisper of the Heart,,2020-07-01
487,Only Yesterday,,2020-07-02
488,My Neighbor Totoro,Yes,2020-07-03
489,My Neighbors the Yamadas,,2020-07-05
490,The Assistant,,2020-07-05
491,Whisper of the Heart,Yes,2020-07-06
492,Ponyo,Yes,2020-07-06
493,Babe,Yes,2020-07-07
494,Hamilton,,2020-07-08
495,13th,,2020-07-09
496,Palm Springs,,2020-07-10
497,Zodiac,Yes,2020-07-11
498,The 40 Year Old Virgin,Yes,2020-07-12
499,Lupin the Third: The Castle of Cagliostro,Yes,2020-07-13
500,Sing Street,Yes,2020-07-13
501,Thor: Ragnarok,,2020-07-14
502,It's Such a Beautiful Day,,2020-07-16
503,Stop Making Sense,Yes,2020-07-16
504,Uncut Gems,Yes,2020-07-17
505,World of Tomorrow,,2020-07-17
506,World of Tomorrow,Yes,2020-07-18
507,World of Tomorrow,Yes,2020-07-18
508,World of Tomorrow,Yes,2020-07-19
509,World of Tomorrow,Yes,2020-07-19
510,Thor,Yes,2020-07-19
511,Tower,Yes,2020-07-19
512,Drive,Yes,2020-07-19
513,You've Got Mail,Yes,2020-07-20
514,The Lost City of Z,,2020-07-20
515,Knock Down the House,Yes,2020-07-22
516,Hedgehog in the Fog,,2020-07-22
517,Captain America: The First Avenger,Yes,2020-07-23
